login_hour,day_of_week,session_duration,command_length,unique_resources,failed_login_count,is_known_device,is_known_location,auth_method_encoded,entity_type_encoded,target_label
9,3,0,0,1,1.0,0,0,6,0,Failed Login
8,1,1734,1,1,0.0,1,1,6,0,Normal
18,3,7880,1,1,0.0,1,1,4,0,Normal
8,1,6856,1,1,0.0,1,1,4,0,Normal
13,2,1569,0,1,0.0,0,0,1,0,Normal
11,5,10837,0,1,0.0,1,1,4,0,Normal
23,3,10807,1,1,1.0,1,0,3,0,Off-Hours Access
11,3,2642,1,1,1.0,1,1,6,0,Normal
18,3,4209,1,1,0.0,1,0,0,0,Unusual Resource Access
10,3,5037,1,1,0.0,1,1,3,0,Normal
13,2,2009,1,1,0.0,1,1,0,0,Normal
8,4,3012,1,1,0.0,1,1,4,0,Normal
11,3,9623,1,1,0.0,1,0,0,0,Normal
15,0,10115,1,1,0.0,1,1,0,0,Normal
11,3,10269,1,1,0.0,1,1,1,0,Normal
16,6,5140,1,1,0.0,1,1,3,0,Normal
16,3,1647,1,1,0.0,1,1,1,0,Normal
10,1,5330,1,1,0.0,1,1,1,0,Normal
11,2,11527,1,1,0.0,1,1,6,0,Normal
16,3,10918,1,1,0.0,1,1,0,0,Normal
8,1,5482,1,1,0.0,1,1,1,0,Normal
18,5,7158,1,1,0.0,1,1,6,0,Normal
17,1,4514,1,1,0.0,1,1,0,0,Normal
14,1,8009,1,1,0.0,1,1,1,0,Normal
15,4,3785,1,1,0.0,0,0,1,0,Normal
10,4,5981,1,1,0.0,1,1,6,0,Normal
17,2,2080,1,1,0.0,1,1,1,0,Normal
14,1,1093,1,1,0.0,1,1,1,0,Normal
9,2,3065,1,1,0.0,0,0,6,0,Normal
17,1,9786,1,1,0.0,1,1,6,0,Normal
11,4,8179,1,1,0.0,1,1,3,0,Normal
10,3,5282,1,1,0.0,1,1,3,0,Normal
8,0,0,0,1,1.0,0,0,6,0,Failed Login
18,6,2741,1,1,0.0,1,1,0,0,Normal
9,2,10987,1,1,0.0,1,1,6,0,Normal
9,3,3375,1,1,0.0,1,1,3,0,Normal
10,0,11832,1,1,0.0,1,1,1,0,Normal
13,4,9079,1,1,0.0,1,1,4,0,Normal
9,6,11645,1,1,0.0,1,1,1,0,Normal
15,2,0,0,1,1.0,0,0,2,0,Failed Login
15,1,11330,1,1,0.0,1,1,3,0,Normal
11,1,9044,1,1,0.0,1,1,3,0,Normal
11,5,7811,1,1,0.0,1,1,3,0,Normal
11,6,6826,0,1,0.0,1,1,1,0,Normal
13,2,2704,0,1,0.0,0,0,1,0,Normal
10,1,9935,1,1,1.0,1,1,1,0,Normal
8,2,3244,1,1,0.0,1,1,6,0,Normal
13,1,2108,1,1,0.0,1,1,3,0,Normal
10,6,5807,1,1,0.0,1,0,3,0,Suspicious Command
15,5,2722,1,1,1.0,1,1,4,0,Normal
17,3,3527,0,1,0.0,0,0,3,0,Normal
15,2,9122,1,1,2.0,1,1,3,0,Normal
12,0,2950,1,1,0.0,1,1,0,0,Normal
11,3,10813,1,1,0.0,1,1,3,0,Normal
15,2,3600,0,1,0.0,1,1,0,0,Normal
12,1,6842,1,1,0.0,1,0,6,0,Normal
10,4,2293,1,1,1.0,1,0,1,0,Unusual Resource Access
15,6,2427,1,1,0.0,1,1,4,0,Normal
12,5,6052,1,1,0.0,1,1,1,0,Normal
18,6,9150,0,1,0.0,0,0,0,0,Normal
8,6,10506,1,1,0.0,1,1,0,0,Normal
18,6,4694,1,1,0.0,1,1,6,0,Normal
16,0,6493,1,1,0.0,1,1,3,0,Normal
17,6,7250,1,1,0.0,1,0,6,0,Normal
9,0,2495,1,1,0.0,1,1,0,0,Normal
