login_hour,day_of_week,session_duration,command_length,unique_resources,failed_login_count,is_known_device,is_known_location,auth_method_encoded,entity_type_encoded
12,6,2506,1,1,0.0,0,1,2,2
6,4,928,1,1,0.0,0,0,4,2
20,5,2525,1,1,0.0,0,0,2,1
0,4,979,1,1,0.0,0,0,2,1
0,2,2361,1,1,0.0,0,1,2,2
21,3,3238,1,1,0.0,0,1,5,1
5,2,526,1,1,0.0,0,0,2,1
21,4,868,1,1,0.0,0,0,2,0
11,5,465,1,1,0.0,0,1,4,2
21,3,1437,1,1,0.0,0,1,5,1
10,1,3580,1,1,0.0,0,0,2,1
0,4,3218,1,1,0.0,0,1,5,1
14,3,2363,1,1,0.0,0,1,5,1
20,4,4752,1,1,0.0,0,0,5,4
16,1,373,1,1,0.0,0,1,2,1
12,1,1107,1,1,0.0,0,1,5,1
14,1,2073,1,1,0.0,0,1,5,1
17,4,3389,1,1,0.0,0,0,0,0
22,1,2843,1,1,0.0,0,1,4,1
0,0,2035,1,1,0.0,0,1,2,1
1,2,2134,1,1,0.0,0,1,5,1
3,1,1608,1,1,0.0,0,1,5,1
13,6,2032,1,1,0.0,0,1,2,1
23,4,3186,1,1,0.0,0,1,5,1
10,1,3341,1,1,0.0,0,1,5,1
8,5,1923,1,1,0.0,0,0,4,2
8,2,3364,1,1,0.0,0,1,4,2
12,6,2614,1,1,0.0,0,1,4,2
22,6,2355,1,1,0.0,0,0,4,2
10,2,3439,1,1,0.0,0,1,4,1
3,4,1189,1,1,0.0,0,0,3,3
13,2,948,1,1,0.0,0,1,4,1
22,4,2259,1,1,0.0,0,1,5,1
10,0,2559,1,1,0.0,0,1,5,1
15,3,2818,1,1,0.0,0,1,4,2
17,3,3239,1,1,0.0,0,1,2,1
22,3,3164,1,1,1.0,0,1,4,2
2,0,2220,1,1,0.0,0,1,5,1
11,4,1182,1,1,0.0,0,1,4,1
0,0,3194,1,1,0.0,0,0,4,1
23,6,407,1,1,0.0,0,1,2,2
14,6,475,1,1,0.0,0,1,2,2
4,0,2910,1,1,0.0,0,1,2,2
13,3,3242,1,1,0.0,0,0,5,1
22,3,821,1,1,0.0,0,0,2,2
19,6,2970,1,1,0.0,0,1,5,2
14,3,2735,1,1,0.0,0,0,3,0
6,0,3072,1,1,0.0,0,1,4,2
7,4,1679,1,1,0.0,0,0,2,1
4,3,1439,1,1,0.0,0,1,2,1
3,5,2865,1,1,0.0,0,0,2,2
20,6,355,1,1,0.0,0,1,5,1
19,4,405,1,1,0.0,0,1,5,2
7,6,1250,1,1,0.0,0,0,3,1
8,5,578,1,1,0.0,0,1,5,2
4,3,1696,1,1,0.0,0,1,4,2
11,4,3112,1,1,0.0,0,0,4,2
13,2,931,1,1,0.0,0,1,5,2
13,4,3008,1,1,0.0,0,0,5,1
7,6,418,1,1,0.0,0,0,2,4
1,1,3231,1,1,0.0,0,1,5,2
13,1,1126,1,1,0.0,0,0,2,1
12,1,648,1,1,0.0,0,0,2,0
8,2,3000,1,1,0.0,0,1,2,2
7,6,3333,1,1,1.0,0,1,5,2
0,0,1551,1,1,0.0,0,1,4,2
12,0,3370,1,1,0.0,0,0,4,1
5,4,2701,1,1,0.0,0,1,2,2
23,3,485,1,1,0.0,0,0,2,2
23,3,3362,1,1,0.0,0,0,3,3
10,1,3231,1,1,0.0,0,0,2,2
1,5,2585,1,1,0.0,0,0,2,2
22,3,28,1,1,1.0,0,0,4,2
1,4,1146,1,1,0.0,0,1,5,2
13,0,2658,1,1,0.0,0,0,5,1
12,4,922,1,1,0.0,0,1,5,2
23,4,3288,1,1,0.0,0,0,2,1
2,4,1606,1,1,1.0,0,1,4,1
16,1,1480,1,1,0.0,0,0,4,2
17,5,1727,1,1,0.0,0,0,4,1
0,1,2583,1,1,0.0,0,1,4,2
21,2,1095,1,1,0.0,0,0,5,2
3,0,363,1,1,1.0,0,1,2,1
6,4,1236,1,1,0.0,0,0,2,2
19,5,1674,1,1,0.0,0,1,2,1
4,1,4251,1,1,0.0,0,0,0,4
14,2,1143,1,1,0.0,0,1,4,2
20,0,2602,1,1,0.0,0,1,5,2
0,5,744,1,1,0.0,0,1,4,1
13,3,1239,1,1,0.0,0,1,4,2
17,5,3273,1,1,0.0,0,1,5,1
19,6,3279,1,1,1.0,0,1,4,2
3,2,2465,1,1,0.0,0,1,2,2
17,4,1746,1,1,0.0,0,1,4,1
2,5,1467,1,1,0.0,0,0,2,2
6,5,2958,1,1,0.0,0,1,5,1
16,5,2358,1,1,0.0,0,1,4,1
20,6,984,1,1,0.0,0,1,4,2
8,6,2040,1,1,0.0,0,0,4,2
1,3,1627,1,1,0.0,0,1,5,2
