login_hour,day_of_week,session_duration,command_length,unique_resources,failed_login_count,is_known_device,is_known_location,auth_method_encoded,entity_type_encoded,target_label
8,2,35,0,1,0.0,0,0,0,0,Normal
12,2,10,0,1,0.0,0,0,0,1,Normal
12,4,96,0,1,0.0,0,0,0,2,Normal
11,1,66,0,1,0.0,0,0,0,4,Normal
16,5,107,0,1,0.0,0,0,0,1,Normal
10,6,125,0,1,0.0,0,0,0,2,Normal
11,3,112,0,1,0.0,0,0,0,3,Normal
11,4,145,0,1,0.0,0,0,0,4,Normal
12,4,131,0,1,0.0,0,0,0,2,Normal
7,0,161,0,1,0.0,0,0,0,0,Normal
10,4,74,0,1,0.0,0,0,0,1,Normal
8,5,62,0,1,0.0,0,0,0,0,Normal
13,6,63,0,1,0.0,0,0,0,2,Normal
7,4,102,0,1,0.0,0,0,0,2,Normal
10,0,101,0,1,0.0,0,0,0,3,Normal
12,0,40,0,1,0.0,0,0,0,3,Normal
17,6,54,0,1,0.0,0,0,0,2,Normal
14,3,28,0,1,0.0,0,0,0,4,Normal
8,3,16,0,1,0.0,0,0,0,3,Normal
9,3,19,0,1,0.0,0,0,0,0,Normal
15,5,94,0,1,0.0,0,0,0,2,Normal
11,1,127,0,1,0.0,0,0,0,0,Normal
8,1,144,0,1,0.0,0,0,0,4,Normal
16,3,82,0,1,0.0,0,0,0,2,Normal
14,4,172,0,1,0.0,0,1,0,3,Session Hijacking
17,1,143,0,1,0.0,0,0,0,2,Normal
8,0,164,0,1,0.0,0,0,0,4,Normal
11,6,138,0,1,0.0,0,0,0,1,Normal
14,4,100,0,1,0.0,0,0,0,4,Normal
10,0,171,0,1,0.0,0,0,0,1,Normal
15,1,13,0,1,0.0,0,0,0,3,Normal
12,3,26,0,1,0.0,0,0,0,2,Normal
12,5,9,0,1,0.0,0,0,0,3,Normal
14,4,57,0,1,0.0,0,0,0,4,Normal
11,1,174,0,1,0.0,0,0,0,2,Normal
7,1,91,0,1,0.0,0,0,0,0,Normal
11,0,12,0,1,0.0,0,0,0,2,Normal
15,0,19,0,1,0.0,0,0,0,4,Normal
11,4,78,0,1,0.0,0,0,0,3,Normal
15,6,150,0,1,0.0,0,0,0,4,Normal
15,2,65,0,1,0.0,0,0,0,4,Normal
7,2,68,0,1,0.0,0,0,0,3,Normal
16,5,14,0,1,0.0,0,0,0,3,Normal
11,1,172,0,1,0.0,0,0,0,3,Normal
9,4,87,0,1,0.0,0,0,0,0,Normal
14,6,9,0,1,0.0,0,0,0,3,Normal
8,5,168,0,1,0.0,0,0,0,4,Normal
15,2,25,0,1,0.0,0,1,0,3,Normal
18,5,71,0,1,0.0,0,0,0,2,Normal
14,3,166,0,1,0.0,0,0,0,0,Normal
9,0,64,0,1,0.0,0,0,0,1,Normal
7,3,117,0,1,0.0,0,0,0,3,Normal
13,4,20,0,1,0.0,0,0,0,1,Normal
14,0,95,0,1,0.0,0,0,0,0,Normal
8,0,24,0,1,0.0,0,0,0,3,Normal
17,0,57,0,1,0.0,0,0,0,4,Normal
15,2,169,0,1,0.0,0,0,0,4,Normal
13,2,97,0,1,0.0,0,0,0,4,Normal
15,1,80,0,1,0.0,0,0,0,1,Normal
7,6,43,0,1,0.0,0,0,0,4,Normal
8,4,85,0,1,0.0,0,0,0,0,Normal
17,4,60,0,1,0.0,0,0,0,2,Normal
7,6,171,0,1,0.0,0,0,0,4,Normal
8,4,152,0,1,0.0,0,0,0,1,Normal
17,5,36,0,1,0.0,0,0,0,1,Normal
15,2,173,0,1,0.0,0,0,0,1,Normal
17,0,152,0,1,0.0,0,0,0,1,Normal
12,2,121,0,1,0.0,0,0,0,4,Normal
10,1,109,0,1,0.0,0,0,0,4,Normal
11,6,97,0,1,0.0,0,0,0,1,Normal
16,5,112,0,1,0.0,0,0,0,2,Normal
9,0,109,0,1,0.0,0,0,0,3,Normal
11,6,85,0,1,0.0,0,0,0,2,Normal
10,5,152,0,1,0.0,0,0,0,2,Normal
13,0,47,0,1,0.0,0,0,0,1,Normal
16,4,30,0,1,0.0,0,0,0,4,Normal
8,1,47,0,1,0.0,0,1,0,2,Insider Threat
9,5,95,0,1,0.0,0,1,0,0,Normal
13,5,80,0,1,0.0,0,0,0,1,Normal
15,5,162,0,1,0.0,0,0,0,0,Normal
9,2,166,0,1,0.0,0,0,0,3,Normal
13,6,51,0,1,0.0,0,0,0,3,Normal
15,6,156,0,1,0.0,0,0,0,1,Normal
16,1,135,0,1,0.0,0,0,0,0,Normal
12,6,131,0,1,0.0,0,0,0,1,Normal
9,2,135,0,1,0.0,0,1,0,4,Normal
13,1,50,0,1,0.0,0,0,0,3,Normal
12,0,76,0,1,0.0,0,0,0,2,Normal
13,0,35,0,1,0.0,0,0,0,2,Normal
13,3,78,0,1,0.0,0,0,0,1,Normal
12,2,76,0,1,0.0,0,0,0,4,Normal
10,4,48,0,1,0.0,0,0,0,2,Normal
8,1,54,0,1,0.0,0,0,0,3,Normal
14,2,77,0,1,0.0,0,0,0,1,Normal
15,4,121,0,1,0.0,0,0,0,3,Normal
10,1,115,0,1,0.0,0,0,0,0,Normal
11,3,176,0,1,0.0,0,0,0,3,Normal
15,2,24,0,1,0.0,0,0,0,1,Normal
11,4,166,0,1,0.0,0,0,0,0,Normal
15,0,85,0,1,0.0,0,0,0,2,Normal
8,2,35,0,1,0.0,0,0,0,0,Normal
12,2,10,0,1,0.0,0,0,0,1,Normal
12,4,96,0,1,0.0,0,0,0,2,Normal
11,1,66,0,1,0.0,0,0,0,4,Normal
16,5,107,0,1,0.0,0,0,0,1,Normal
10,6,125,0,1,0.0,0,0,0,2,Normal
11,3,112,0,1,0.0,0,0,0,3,Normal
11,4,145,0,1,0.0,0,0,0,4,Normal
12,4,131,0,1,0.0,0,0,0,2,Normal
7,0,161,0,1,0.0,0,0,0,0,Normal
10,4,74,0,1,0.0,0,0,0,1,Normal
8,5,62,0,1,0.0,0,0,0,0,Normal
13,6,63,0,1,0.0,0,0,0,2,Normal
7,4,102,0,1,0.0,0,0,0,2,Normal
10,0,101,0,1,0.0,0,0,0,3,Normal
12,0,40,0,1,0.0,0,0,0,3,Normal
17,6,54,0,1,0.0,0,0,0,2,Normal
