entity_id,entity_type,timestamp,source_ip,geo_location,resource_accessed,auth_method,session_duration,command_sequence,device_fingerprint,login_success,label,login_hour,day_of_week,command_length,unique_resources,failed_login_count,is_known_device,is_known_location,auth_method_encoded,entity_type_encoded
953bcc2c-db06-48a4-997b-3e4a19d8ceb0,User,2026-07-07 12:07:20,221.161.57.6,"Port Ricardomouth, North Macedonia",VPN,SSO,25048,Unknown,Ubuntu 22.04 - Chrome,True,Normal,12,1,0,1,0.0,1,1,4,1
b06f4185-369f-4043-aaa6-c7c952393e9d,User,2026-06-26 17:26:35,55.140.54.245,"Hallborough, Chile",Email,Hardware Token,1991,Unknown,macOS 13 - Firefox,True,Normal,17,4,0,1,0.0,1,1,1,1
5bad0e08-00ba-460b-a3a7-81face53dac8,User,2026-07-21 13:34:54,73.112.88.13,"Stevensside, Andorra",Email,SSO,2180,Unknown,Windows 11 - Chrome,True,Normal,13,1,0,1,0.0,1,0,4,1
654ae1a7-8dfa-4495-b832-1478e3cdd88c,User,2026-07-23 13:00:15,16.1.43.176,"New Matthew, Uganda",CRM,Biometric,12715,Unknown,Windows 10 - Firefox,True,Normal,13,3,0,1,0.0,1,1,0,1
40666422-e20e-470a-ba41-a84839a0ffb5,User,2026-07-13 13:22:22,15.26.112.80,"Port Brandonview, Sao Tome and Principe",Database,Password,17094,UPDATE records -> pg_dump,macOS 13 - Safari,True,Normal,13,0,2,1,0.0,1,1,3,1
2bd8944f-3114-4141-bf95-a9225fedf314,User,2026-07-15 10:31:34,103.177.191.16,"Riveraborough, Mexico",VPN,MFA,10207,Unknown,Windows 10 - Firefox,True,Normal,10,2,0,1,0.0,1,1,2,1
a887a9b9-fd2e-4b8a-8523-be9fe3cbc6f3,User,2026-07-24 07:35:12,98.27.18.59,"Vasquezberg, Mauritius",HRIS,SSO,10697,Unknown,Windows 11 - Edge,True,Normal,7,4,0,1,0.0,1,1,4,1
ddbc0949-276f-489e-8d8d-9b6614c2cfae,User,2026-07-13 18:04:37,52.59.41.93,"Lake Theresastad, Netherlands",GitLab,Hardware Token,19598,ssh -i key.pem -> aws s3 ls,macOS 13 - Safari,True,Normal,18,0,2,1,0.0,1,1,1,1
5e0b6393-be0d-4702-a312-ad9597e355f4,User,2026-07-11 08:01:25,111.207.9.113,"Rodneyburgh, Ghana",Database,SSO,10572,pg_dump,Windows 10 - Chrome,True,Normal,8,5,1,1,0.0,1,1,4,1
b1d74dac-d430-48d1-9aae-78d63b75de07,Device,2026-06-30 18:54:12,149.145.135.34,"Marilynhaven, Mauritania",VPN,Password,21108,Unknown,App Server,True,Normal,18,1,0,1,0.0,1,0,3,0
ab2768ed-5e0b-4f75-89ac-35007296ccb8,Device,2026-07-03 09:36:02,45.13.170.65,"West Jeffreybury, Cambodia",Email,Hardware Token,24426,Unknown,Network Router,True,Normal,9,4,0,1,0.0,1,1,1,0
05ca2333-d379-4be5-a4ef-5b5fae8c7e5e,User,2026-07-03 15:00:47,146.138.109.228,"Port Tanyaburgh, Hungary",Database,SSO,25331,EXPLAIN ANALYZE,Ubuntu 22.04 - Chrome,True,Normal,15,4,1,1,0.0,1,1,4,1
488472b9-25e9-4253-a6da-7549677753ef,Device,2026-07-24 11:31:44,173.211.65.45,"Mcmillanstad, Greenland",Confluence,Biometric,22855,Unknown,IoT Sensor,True,Normal,11,4,0,1,0.0,1,1,0,0
e10c8d43-b563-4107-977d-056d9c488116,User,2026-07-16 09:03:28,160.112.93.45,"Nathanfurt, Cyprus",Database,Password,18833,SELECT * FROM users -> pg_dump,Windows 10 - Edge,True,Normal,9,3,2,1,1.0,1,0,3,1
7dba9976-bbb5-4301-a2bc-029eb46b4ce9,User,2026-06-25 13:00:57,162.171.14.42,"West Jason, Taiwan",Confluence,Password,0,Unknown,Unknown Script/Bot,False,BruteForce,13,3,0,1,5.0,1,0,3,1
