entity_id,entity_type,timestamp,source_ip,geo_location,resource_accessed,auth_method,session_duration,command_sequence,device_fingerprint,login_success,label
74273ca3-287d-46ca-af4c-c69a4b22d308,User,2026-07-14 18:37:00,134.50.41.133,"Lake Nancyview, Macao",FileServer,MFA,6083,git push,Windows 11 - Edge,True,Normal
1b049863-7d7d-4bed-9284-476c6b88f83d,User,2026-07-11 11:16:00,110.37.122.74,"Yumouth, Russian Federation",HRIS,Hardware Token,11904,python app.py,Ubuntu 22.04 - Chrome,True,Normal
03edd1f8-74f9-4d17-a912-b4bf86a4bae4,User,2026-07-30 09:00:00,213.28.66.119,"South Monica, Cape Verde",ERP,MFA,10124,N/A,Windows 10 - Chrome,True,Normal
8a63f881-ffd0-49d5-a6f2-f7b80cf35b58,User,2026-07-17 12:08:00,169.168.7.10,"North Sarabury, Chad",Database,SSO,4902,git push,macOS 13 - Safari,True,Normal
6a5d932b-45ff-4c83-b495-db4e82456fb4,User,2026-07-27 23:45:00,31.241.202.144,"Jimenezport, Luxembourg",AdminConsole,Legacy Login,47,sudo su,Kali Linux,False,Anomaly
bdc14f1f-295d-4fbf-830f-801dfad409e2,User,2026-07-05 12:18:00,89.42.225.70,"Arnoldchester, Monaco",FileServer,Hardware Token,6517,git pull,Windows 11 - Edge,True,Normal
95d82980-ff37-419c-ae76-128b473544f9,User,2026-07-09 08:05:00,215.180.12.142,"Waltersfort, Bermuda",HRIS,OAuth,1622,N/A,macOS 13 - Safari,True,Normal
c9e26074-4f16-49a0-8a17-991ea5769411,User,2026-07-21 12:10:00,35.29.55.3,"Johnsonstad, Saint Martin",ERP,MFA,7907,SELECT * FROM customers,Windows 11 - Edge,True,Normal
f50bea63-371e-4d7b-a7cd-813047229389,User,2026-07-29 03:34:00,111.135.134.20,"Amandaville, Jersey",BackupVault,Password,32,sudo su,Unknown Device,False,Anomaly
74273ca3-287d-46ca-af4c-c69a4b22d308,User,2026-07-07 18:15:00,27.180.115.78,"Lake Nancyview, Macao",VPN,OAuth,10073,docker ps,Windows 11 - Edge,True,Normal
90fa6b57-24ac-4130-9eaf-528d2e709838,User,2026-07-24 10:59:00,153.163.33.29,"Jonestown, Bermuda",GitLab,Hardware Token,3800,kubectl get pods,Windows 11 - Edge,True,Normal
d261a7ab-3aa2-44f9-8e51-f30dc6a7ee39,User,2026-07-30 13:50:00,44.117.59.130,"Angelaland, Hungary",FinanceDB,Legacy Login,15,cat /etc/shadow,Kali Linux,False,Anomaly
8a2e6a93-c558-4bb2-81f7-f3fb19e45c6a,User,2026-07-27 15:22:00,216.243.120.198,"Lake Matthewberg, Nepal",CloudStorage,Hardware Token,4552,N/A,macOS 13 - Safari,True,Normal
793b4c32-2050-4494-bd11-48022702878b,User,2026-07-09 09:49:00,200.121.169.152,"New Staciemouth, Reunion",CloudStorage,OAuth,11410,SELECT * FROM customers,Windows 11 - Chrome,True,Normal
1a85910d-5a05-4c11-8ffc-a6b199b479d4,User,2026-07-27 16:21:00,15.38.182.253,"East Diane, Czech Republic",Email,SSO,5179,git pull,Windows 10 - Chrome,True,Normal
6a662fce-7089-4c6d-a877-f5d90f5675f8,User,2026-07-09 08:06:00,165.108.228.180,"Marshallmouth, New Caledonia",FileServer,Biometric,6563,python app.py,Ubuntu 22.04 - Chrome,True,Normal
2cd1586a-2b84-4c67-ae18-3554cae28e66,User,2026-07-17 09:24:00,199.73.221.105,"New Monicabury, Luxembourg",FileServer,Hardware Token,5073,N/A,Windows 11 - Chrome,True,Normal
2722796e-9a36-41ec-ac6a-6e9a328067a1,User,2026-07-30 16:43:00,57.176.83.114,"North Benjaminmouth, Spain",FinanceDB,Legacy Login,92292,nmap -A 10.0.0.0/24,Unknown Device,False,Anomaly
6601ddd0-3170-4437-a8f7-ef5a060edf5b,User,2026-07-10 16:19:00,180.196.31.53,"Joshualand, Sierra Leone",HRIS,OAuth,7492,python app.py,Windows 11 - Chrome,True,Normal
b489d070-7914-48a8-bea4-ff31517400f8,User,2026-07-07 14:42:00,196.143.34.191,"Hughesberg, Lithuania",HRIS,Hardware Token,10984,SELECT * FROM customers,Ubuntu 22.04 - Chrome,True,Normal
f81dbaa1-c812-4a8e-b830-89301327f1bc,User,2026-07-27 08:19:00,169.168.197.151,"Matthewfurt, Pakistan",CloudStorage,Hardware Token,7943,docker ps,Ubuntu 22.04 - Chrome,True,Normal
af5b8f47-ceae-41cf-8e00-0af03eb05181,User,2026-07-11 15:28:00,116.201.169.242,"Evansland, Portugal",ERP,Hardware Token,9275,kubectl get pods,Windows 10 - Chrome,True,Normal
620e99d3-3b33-43d8-a69c-d696236c7b87,User,2026-07-10 16:42:00,223.172.210.227,"Lake Jason, Israel",FileServer,OAuth,2430,docker ps,Windows 11 - Chrome,True,Normal
40a26c60-0d27-4659-b72a-da9b2f32751e,User,2026-07-08 11:09:00,207.204.148.125,"Wilsonland, Iran",Email,SSO,4911,kubectl get pods,Windows 10 - Chrome,True,Normal
8a63f881-ffd0-49d5-a6f2-f7b80cf35b58,User,2026-07-29 18:36:00,102.112.60.47,"North Sarabury, Chad",GitLab,Biometric,8999,kubectl get pods,macOS 13 - Safari,True,Normal
0f6b40d0-9efb-458b-9191-b3634e2d6645,User,2026-07-23 08:57:00,176.218.75.34,"Bakershire, Morocco",AdminConsole,Legacy Login,95763,rm -rf /,Android Emulator,False,Anomaly
dc0f2fcf-b3f6-4e0d-8860-3b32b4fb0eb9,User,2026-07-04 15:08:00,62.191.172.69,"Jonesbury, Uzbekistan",ERP,MFA,10057,SELECT * FROM customers,Ubuntu 22.04 - Chrome,True,Normal
cdfc6ee0-e61e-4e90-8267-deb3aab612c9,User,2026-07-29 15:39:00,56.85.9.217,"Santanaside, Cayman Islands",BI,Biometric,9876,kubectl get pods,Windows 10 - Chrome,True,Normal
aae65fc1-76f2-4bfe-8d29-a36f222282e1,User,2026-07-16 15:16:00,23.192.19.1,"Stephaniemouth, New Zealand",GitLab,OAuth,9440,kubectl get pods,Windows 11 - Edge,True,Normal
3f897142-fe71-4b14-95ce-6a664dc82a1e,User,2026-07-03 12:15:00,39.8.135.58,"New Kathybury, Singapore",CloudStorage,OAuth,6138,SELECT * FROM customers,macOS 13 - Safari,True,Normal
bf7b539b-0f9a-4a4b-8acd-4e10bc594585,User,2026-07-08 02:44:00,84.19.137.161,"Hernandezborough, Isle of Man",AdminConsole,Legacy Login,100842,cat /etc/shadow,Kali Linux,False,Anomaly
bbda0242-2d17-4fc9-af7c-15ea272a6d8e,User,2026-07-13 17:44:00,195.226.236.138,"Christinaside, Singapore",Email,MFA,7132,kubectl get pods,macOS 13 - Safari,True,Normal
47378190-96da-4dac-b2ff-5d2a386ecbe0,User,2026-07-10 14:54:00,203.163.89.95,"Port Lindachester, Guam",HRIS,MFA,9847,docker ps,Windows 11 - Edge,True,Normal
b118f68d-6786-4506-b8ba-8abc4b5305e5,User,2026-07-09 14:31:00,218.102.206.71,"West Elizabeth, Heard Island and McDonald Islands",Email,Biometric,6407,python app.py,macOS 13 - Safari,True,Normal
c32d4526-b3e4-410a-85f5-0c522e2fbf77,User,2026-07-27 15:58:00,220.14.242.212,"Sandrastad, Albania",CRM,MFA,9651,N/A,Ubuntu 22.04 - Chrome,True,Normal
bd21bc11-be9d-41ee-98b8-72456e8f75a1,User,2026-07-22 08:05:00,175.214.178.9,"Lisaside, Bahamas",HRIS,Hardware Token,8464,git pull,Windows 10 - Chrome,True,Normal
15ed6269-1429-4c07-b26b-4776913e4de2,User,2026-07-11 11:29:00,219.86.81.169,"Cabreraside, Seychelles",Database,OAuth,7111,git push,Ubuntu 22.04 - Chrome,True,Normal
01fa964e-1eb7-4b56-93ff-d3a24a193501,User,2026-07-03 15:01:00,195.14.180.245,"Burgessburgh, Bulgaria",BI,SSO,6633,git pull,Ubuntu 22.04 - Chrome,True,Normal
310c0c00-3fa7-4104-9bf9-0e27dc96925e,User,2026-07-21 08:48:00,215.227.124.26,"New Shane, Jamaica",Email,Hardware Token,4166,docker ps,Windows 10 - Chrome,True,Normal
baa80dd4-88bd-4407-abcf-be01a28defe3,User,2026-07-08 10:30:00,183.50.28.89,"East Steven, Faroe Islands",VPN,MFA,4471,kubectl get pods,macOS 13 - Safari,True,Normal
f1533ae8-670a-4c5c-b321-bf214dd8eb85,User,2026-07-06 17:38:00,163.81.2.133,"Vincentfort, Kazakhstan",VPN,Hardware Token,5996,N/A,Windows 11 - Chrome,True,Normal
