entity_id,entity_type,timestamp,source_ip,geo_location,resource_accessed,auth_method,session_duration,command_sequence,device_fingerprint,login_success,label
bdd640fb-0667-4ad1-9c80-317fa3b1799d,User,11-07-2026 20:03,124.228.145.91,"Lake Curtis, Saint Vincent and the Grenadines",VPN,OAuth,9024,git push origin main,Windows 10 - Edge,TRUE,Normal
972a8469-1641-4f82-8b9d-2434e465e150,User,02-07-2026 13:01,33.232.50.155,"East Jessetown, Monaco",ERP,SSO,14825,N/A,Windows 10 - Chrome,TRUE,Normal
b38a088c-a65e-4389-b74d-0fb132e70629,User,27-07-2026 10:54,5.195.118.95,"Lawrencetown, Senegal",BI,SSO,342,SELECT * FROM users,macOS 13 - Safari,TRUE,Anomaly
6c307511-b2b9-437a-a8df-6ec4ce4a2bbd,User,08-07-2026 18:00,41.243.96.76,"Port Matthew, Bermuda",BI,Biometric,25864,N/A,Ubuntu 20.04 - Chrome,TRUE,Normal
d8f56413-5be6-428e-98c2-67976142ea7d,User,17-07-2026 08:09,48.237.232.233,"Lake Stephenville, Uzbekistan",HRIS,Hardware Token,26018,pg_dump,Windows 10 - Firefox,TRUE,Normal
4b0dbb41-8d52-48f1-942c-3fe860e7a113,User,23-07-2026 07:16,174.228.160.231,"Lake Chad, Panama",GitLab,MFA,53911,git push origin main,macOS 13 - Firefox,TRUE,Anomaly
fc377a4c-4a15-444d-85e7-ce8a3a578a8e,User,18-07-2026 13:20,78.230.11.190,"South Joshuastad, Central African Republic",FileServer,SSO,10606,SELECT * FROM users,Ubuntu 22.04 - Chrome,TRUE,Normal
ab9099a4-35a2-40ae-9af3-05535ec42e08,User,15-07-2026 01:09,120.146.59.122,"New Jessica, Central African Republic",Email,SSO,26331,pg_dump,Windows 10 - Firefox,TRUE,Normal
fd5166e6-451b-4cf3-a123-fdf77656af72,User,18-07-2026 17:03,215.7.22.100,"Meganton, Denmark",Email,Password,15857,git push origin main,Windows 10 - Edge,TRUE,Normal
50c187fc-ce17-4b4e-8837-b8a3d261a7ab,User,04-07-2026 11:11,36.60.111.32,"New Nancy, Germany",Database,OAuth,23997,git push origin main,Ubuntu 22.04 - Chrome,TRUE,Normal
654821d0-7fcd-4eb1-a7ca-d415366eb16f,User,23-07-2026 10:34,222.174.234.21,"West Donald, Samoa",ERP,OAuth,6354,pg_dump,macOS 13 - Safari,TRUE,Normal
bf3c4c06-4343-48bc-89fa-6a688fb5d27b,User,03-07-2026 17:10,153.143.199.37,"Jeffreyberg, Malawi",ERP,Hardware Token,28618,kubectl get pods,Windows 11 - Chrome,TRUE,Normal
0c0fd195-c17a-408a-9745-d6d87e570ddf,User,11-07-2026 05:48,212.228.19.123,"Port Erin, Nepal",GitLab,Password,3168,git push origin main,Ubuntu 22.04 - Chrome,TRUE,Normal
988c24c9-61b1-4d22-a280-1c4510435a10,User,23-07-2026 06:36,198.192.92.172,"Lake Jenniferside, Sao Tome and Principe",GitLab,Hardware Token,13964,python train.py,Windows 10 - Edge,TRUE,Normal
5715bd6f-a416-4293-84c2-e2e3444ea7c8,User,13-07-2026 18:06,91.211.49.166,"South Aaron, Saint Helena",Database,OAuth,18661,SELECT * FROM users,Ubuntu 20.04 - Chrome,TRUE,Normal
f8cda88b-436d-46e2-b83c-fe0be037e5ed,User,07-07-2026 17:10,10.219.194.19,"Port Colleenhaven, New Caledonia",BI,Password,8186,kubectl get pods,macOS 13 - Firefox,TRUE,Normal
c333e861-5fb8-416c-a720-797d32ebd689,User,08-07-2026 18:23,104.2.87.173,"Tracyville, Vanuatu",VPN,SSO,21560,ssh -i key.pem -> aws s3 ls,Ubuntu 22.04 - Firefox,TRUE,Normal
d4e80839-fc3e-458b-a0f3-eab05cec4eb5,User,23-07-2026 17:19,163.212.203.243,"East Natalieland, Belize",Email,Password,20526,rm -rf /tmp/*,macOS 13 - Firefox,TRUE,Normal
11b7e948-d0e6-4660-bc69-dee1bb5e4bcf,User,27-07-2026 01:36,192.208.24.235,"Lake Thomas, Mexico",ERP,SSO,23338,UPDATE records -> pg_dump,Windows 11 - Firefox,TRUE,Normal
