device_id,device_type,os
DEV00000,Laptop,Ubuntu
DEV00001,Desktop,Ubuntu
DEV00002,Desktop,Ubuntu
DEV00003,Desktop,Windows 11
DEV00004,Desktop,macOS
DEV00005,Desktop,Ubuntu
DEV00006,Laptop,macOS
DEV00007,Laptop,macOS
DEV00008,Desktop,Windows 11
DEV00009,Laptop,Windows 11
DEV00010,Laptop,Ubuntu
DEV00011,Laptop,macOS
DEV00012,Laptop,macOS
DEV00013,Desktop,Ubuntu
DEV00014,Laptop,Ubuntu
DEV00015,Desktop,macOS
DEV00016,Laptop,Windows 11
DEV00017,Laptop,macOS
DEV00018,Desktop,Ubuntu
DEV00019,Laptop,Ubuntu
DEV00020,Desktop,macOS
DEV00021,Desktop,Windows 11
DEV00022,Laptop,macOS
DEV00023,Desktop,Ubuntu
DEV00024,Desktop,macOS
DEV00025,Laptop,Windows 11
DEV00026,Laptop,Ubuntu
DEV00027,Desktop,macOS
DEV00028,Desktop,Ubuntu
DEV00029,Laptop,macOS
DEV00030,Laptop,Ubuntu
DEV00031,Laptop,macOS
DEV00032,Desktop,macOS
DEV00033,Desktop,Ubuntu
DEV00034,Desktop,macOS
DEV00035,Laptop,macOS
DEV00036,Desktop,macOS
DEV00037,Desktop,macOS
DEV00038,Laptop,Windows 11
DEV00039,Desktop,Ubuntu
DEV00040,Laptop,Windows 11
DEV00041,Desktop,Windows 11
DEV00042,Desktop,Ubuntu
DEV00043,Laptop,macOS
DEV00044,Desktop,Windows 11
DEV00045,Laptop,Ubuntu
DEV00046,Desktop,macOS
DEV00047,Laptop,Ubuntu
DEV00048,Desktop,Windows 11
DEV00049,Desktop,Windows 11
DEV00050,Desktop,Ubuntu
DEV00051,Desktop,Windows 11
DEV00052,Desktop,Windows 11
DEV00053,Laptop,Ubuntu
DEV00054,Laptop,Windows 11
DEV00055,Laptop,Ubuntu
DEV00056,Laptop,Ubuntu
DEV00057,Laptop,Windows 11
DEV00058,Desktop,Ubuntu
DEV00059,Desktop,Ubuntu
DEV00060,Laptop,Windows 11
DEV00061,Laptop,Windows 11
DEV00062,Laptop,Ubuntu
DEV00063,Desktop,macOS
DEV00064,Laptop,Windows 11
DEV00065,Desktop,Windows 11
DEV00066,Laptop,Ubuntu
DEV00067,Desktop,Windows 11
DEV00068,Laptop,macOS
DEV00069,Desktop,Windows 11
DEV00070,Desktop,macOS
DEV00071,Laptop,Ubuntu
DEV00072,Laptop,Windows 11
DEV00073,Desktop,Ubuntu
DEV00074,Desktop,Ubuntu
DEV00075,Laptop,Ubuntu
DEV00076,Laptop,Windows 11
DEV00077,Desktop,Windows 11
DEV00078,Laptop,macOS
DEV00079,Laptop,Windows 11
DEV00080,Desktop,macOS
DEV00081,Desktop,Ubuntu
DEV00082,Laptop,macOS
DEV00083,Desktop,macOS
DEV00084,Laptop,Windows 11
DEV00085,Laptop,Ubuntu
DEV00086,Desktop,macOS
DEV00087,Desktop,Windows 11
DEV00088,Laptop,Windows 11
DEV00089,Desktop,macOS
DEV00090,Laptop,Windows 11
DEV00091,Desktop,Windows 11
DEV00092,Laptop,Ubuntu
DEV00093,Desktop,Windows 11
DEV00094,Desktop,macOS
DEV00095,Desktop,Ubuntu
DEV00096,Desktop,Windows 11
DEV00097,Laptop,Ubuntu
DEV00098,Laptop,Windows 11
DEV00099,Desktop,Windows 11
DEV00100,Desktop,Ubuntu
DEV00101,Desktop,Ubuntu
DEV00102,Laptop,Windows 11
DEV00103,Laptop,macOS
DEV00104,Desktop,Ubuntu
DEV00105,Desktop,Windows 11
DEV00106,Desktop,Ubuntu
DEV00107,Desktop,Ubuntu
DEV00108,Laptop,Windows 11
DEV00109,Desktop,Windows 11
DEV00110,Desktop,Ubuntu
DEV00111,Desktop,Windows 11
DEV00112,Desktop,Ubuntu
DEV00113,Laptop,macOS
DEV00114,Laptop,Ubuntu
DEV00115,Laptop,Ubuntu
DEV00116,Laptop,Ubuntu
DEV00117,Desktop,Ubuntu
DEV00118,Desktop,Windows 11
DEV00119,Laptop,macOS
DEV00120,Laptop,Ubuntu
DEV00121,Desktop,Windows 11
DEV00122,Desktop,Windows 11
DEV00123,Desktop,Ubuntu
DEV00124,Desktop,macOS
DEV00125,Laptop,Windows 11
DEV00126,Laptop,macOS
DEV00127,Desktop,Windows 11
DEV00128,Desktop,Ubuntu
DEV00129,Laptop,Ubuntu
DEV00130,Laptop,Ubuntu
DEV00131,Desktop,Windows 11
DEV00132,Laptop,macOS
DEV00133,Desktop,Ubuntu
DEV00134,Desktop,macOS
DEV00135,Laptop,Windows 11
DEV00136,Laptop,Windows 11
DEV00137,Laptop,Windows 11
DEV00138,Laptop,Ubuntu
DEV00139,Desktop,Ubuntu
DEV00140,Desktop,Windows 11
DEV00141,Laptop,macOS
DEV00142,Desktop,Ubuntu
DEV00143,Desktop,Ubuntu
DEV00144,Desktop,Windows 11
DEV00145,Laptop,macOS
DEV00146,Desktop,Windows 11
DEV00147,Desktop,Windows 11
DEV00148,Desktop,macOS
DEV00149,Laptop,Windows 11
DEV00150,Desktop,Windows 11
DEV00151,Desktop,Windows 11
DEV00152,Laptop,Ubuntu
DEV00153,Desktop,macOS
DEV00154,Desktop,macOS
DEV00155,Desktop,Ubuntu
DEV00156,Desktop,Ubuntu
DEV00157,Laptop,macOS
DEV00158,Laptop,Ubuntu
DEV00159,Laptop,Windows 11
DEV00160,Desktop,Ubuntu
DEV00161,Desktop,Windows 11
