user_id,username,department,role,city,country,lat,lon,preferred_browser,preferred_os,preferred_start,preferred_end
U00000,johnsonjoshua,Marketing,Analyst,Chennai,India,13.08,80.27,Edge,Windows 11,7,15
U00001,donaldgarcia,Marketing,Admin,Bengaluru,India,12.97,77.59,Chrome,macOS,7,15
U00002,garzaanthony,Engineering,Engineer,Hyderabad,India,17.38,78.48,Edge,Windows 11,7,15
U00003,robinsonwilliam,Sales,Manager,Delhi,India,28.61,77.2,Safari,Windows 11,7,15
U00004,hoffmanjennifer,Engineering,Manager,Hyderabad,India,17.38,78.48,Safari,Ubuntu,9,17
U00005,lrobinson,Finance,Analyst,Mumbai,India,19.07,72.87,Chrome,Windows 11,8,16
U00006,lisa02,HR,Analyst,Hyderabad,India,17.38,78.48,Firefox,Windows 11,7,15
U00007,jpeterson,IT,Engineer,Hyderabad,India,17.38,78.48,Firefox,macOS,7,15
U00008,susanrogers,Sales,Manager,Delhi,India,28.61,77.2,Chrome,Windows 11,9,17
U00009,jamesmichael,Engineering,Manager,Bengaluru,India,12.97,77.59,Chrome,Ubuntu,9,17
U00010,cassandra07,Marketing,Analyst,Mumbai,India,19.07,72.87,Edge,Ubuntu,10,18
U00011,dudleynicholas,Marketing,Analyst,Mumbai,India,19.07,72.87,Chrome,macOS,8,16
U00012,maria95,Finance,Intern,Bengaluru,India,12.97,77.59,Safari,Ubuntu,8,16
U00013,janetwilliams,Marketing,Analyst,Delhi,India,28.61,77.2,Chrome,Windows 11,8,16
U00014,kendragalloway,IT,Analyst,Chennai,India,13.08,80.27,Chrome,Windows 11,9,17
U00015,michellejames,Finance,Intern,Delhi,India,28.61,77.2,Safari,macOS,9,17
U00016,xreid,HR,Manager,Hyderabad,India,17.38,78.48,Edge,macOS,8,16
U00017,mitchellclark,Marketing,Admin,Delhi,India,28.61,77.2,Safari,macOS,9,17
U00018,jacqueline19,Finance,Manager,Hyderabad,India,17.38,78.48,Safari,Windows 11,9,17
U00019,amandasanchez,Finance,Manager,Chennai,India,13.08,80.27,Safari,macOS,7,15
U00020,ogray,IT,Admin,Chennai,India,13.08,80.27,Safari,macOS,10,18
U00021,gabriellecameron,Marketing,Engineer,Mumbai,India,19.07,72.87,Firefox,macOS,7,15
